WY	date	CoalCreek reg
2009	2/7/2009	0.063
2009	2/8/2009	0.058
2009	2/9/2009	0.058
2009	2/10/2009	0.048
2009	2/11/2009	0.044
2009	2/12/2009	0.044
2009	2/13/2009	0.048
2009	2/14/2009	0.048
2009	2/15/2009	0.036
2009	2/16/2009	0.044
2009	2/17/2009	0.044
2009	2/18/2009	0.044
2009	2/19/2009	0.039
2009	2/20/2009	0.034
2009	2/21/2009	0.038
2009	2/22/2009	0.044
2009	2/23/2009	0.063
2009	2/24/2009	0.088
2009	2/25/2009	0.073
2009	2/26/2009	0.062
2009	2/27/2009	0.063
2009	2/28/2009	0.048
2009	3/1/2009	0.058
2009	3/2/2009	0.062
2009	3/3/2009	0.077
2009	3/4/2009	0.088
2009	3/5/2009	0.088
2009	3/6/2009	0.069
2009	3/7/2009	0.065
2009	3/8/2009	0.062
2009	3/9/2009	0.065
2009	3/10/2009	0.065
2009	3/11/2009	0.058
2009	3/12/2009	0.069
2009	3/13/2009	0.065
2009	3/14/2009	0.069
2009	3/15/2009	0.073
2009	3/16/2009	0.080
2009	3/17/2009	0.084
2009	3/18/2009	0.096
2009	3/19/2009	0.103
2009	3/20/2009	0.127
2009	3/21/2009	0.134
2009	3/22/2009	0.154
2009	3/23/2009	0.170
2009	3/24/2009	0.154
2009	3/25/2009	0.154
2009	3/26/2009	0.146
2009	3/27/2009	0.146
2009	3/28/2009	0.127
2009	3/29/2009	0.123
2009	3/30/2009	0.119
2009	3/31/2009	0.119
2009	4/1/2009	0.123
2009	4/2/2009	0.103
2009	4/3/2009	0.111
2009	4/4/2009	0.107
2009	4/5/2009	0.100
2009	4/6/2009	0.111
2009	4/7/2009	0.146
2009	4/8/2009	0.215
2009	4/9/2009	0.262
2009	4/10/2009	0.296
2009	4/11/2009	0.341
2009	4/12/2009	0.283
2009	4/13/2009	0.275
2009	4/14/2009	0.345
2009	4/15/2009	0.475
2009	4/16/2009	0.630
2009	4/17/2009	0.544
2009	4/18/2009	0.447
2009	4/19/2009	0.579
2009	4/20/2009	0.964
2009	4/21/2009	1.561
2009	4/22/2009	1.993
2009	4/23/2009	2.232
2009	4/24/2009	2.674
2009	4/25/2009	2.540
2009	4/26/2009	2.123
2009	4/27/2009	1.473
2009	4/28/2009	1.231
2009	4/29/2009	1.379
2009	4/30/2009	2.209
